review_id,reviewer_id,restaurant_id,timestamp,rating,review_content,friend_count,review_count,useful_count,cool_count,funny_count,restaurant_rating
LXHtToTDtixPj0DhKBQR6b,QngxwA3Oj6-YDwbyD93sHQ,xt4sa64WOrpJvZBDPNPNYg,2019-12-01,5,"Very cool place with outstanding food.  The service out impeccable and the menu options were unique. I will say the chair, and bar stools are not the most comfortable, but I decided to eat and drink more, which made me forget about that. We decided to order several different items to share in hopes of ordering an entrée to split.  However, the items were so large that we couldn't even finish what we had ordered.  The deviled eggs, pickles, and poutine were delicious but I don't really understand the insanely large portion. We would have continued to order items, but the portions are way too much, and I could tell by looking around no one ate everything on their plates, which is such a waste.  I would definitely recommend checking this place out even with the large portions, but just keep that in mind when ordering.",105,296,2,0,1,4
cHP81rHE9dM92ZqcfDvbtH,y7_MYApBkPruY-PtZNkjJQ,xt4sa64WOrpJvZBDPNPNYg,2019-12-24,4,"Went to brunch on a Sunday at 3, we sat at the corner of the bar since it's pretty roomy. We got the fried pickles to start and some aviation gin and tonics. The fried pickles weres perfect, I just wish they gave more of them! The bartender was nice and funny since we were talking about the aviation gin (by Ryan Reynolds).We got the Mac and cheese to share and it was really creamy. I got the mushroom biscuits and gravy with scrambled eggs (forgot to take a pic). I was excited to try a vegetarian gravy since no places really have that! It was pretty good but I've had better biscuits.My boyfriend got the fried chicken with sausage and he said the chicken was crispy and the gravy was good too. He also thought the biscuits weren't the best he's had. I definitely want to come back and try some other stuff. Love the vibe of the place too!",2,33,0,0,0,4
tC2yaCpgqyayDdKN4en3Mj,4MmECtu7C_eple4fESQBTw,xt4sa64WOrpJvZBDPNPNYg,2019-11-10,4,"I came on a Tuesday after work for dinner with 3 friends. This was a great choice. We started at the bar until everyone arrived. We had an appetizer of the deviled eggs. Very good. We had predinner cocktails.  The Spicy Brine Margarita was DELICIOUS!! Loved it. The perfect blend.For dinner I had the fried chicken thigh basket with the collard greens and grits. I enjoyed everything except the grits.  They were cooked perfect but the cheddar cheese they used is not tasty at all. The collard greens were the BOMB!! I should have gotten a double of those greens.My other guests got catfish tacos, the jacob patty melt and the bbq chicken smothered pepper jack entrees. They also all enjoyed.The service was also good. Attentive and friendly.  But I want to highlight my favorite part of the night which was the music.  It was awesome. Created the perfect vibe and ambiance. We were there 4 hours and didn't even realize it.I would definitely come back. I highly recommend anyone to stop by and give Jacob's Pickles a try.",169,114,3,3,0,4
Q0lr5ojwBQX1cXEKnOKpHp,LfpXEdALEix6D0UsBCKu5w,xt4sa64WOrpJvZBDPNPNYg,2019-11-16,5,"I almost don't want to post this review because I like to keep the really good eats all to myself, but clearly the cat is out of the bag on this place. The wait is always long and seems especially long while watching people eat while standing in the cold, but it is well worth it. I can't remember having one thing here that I have been disappointed with. Servers are always warm, helpful, and courteous. Food comes out really quickly and the portions are big enough for two people to share. I mean, I do have to stop myself from eating it all by myself so it just depends on how hungry you are that day. Great for brunch and dinner. Diverse beer selection for the type of place it is and it has something for everyone. Warning though, calorie conscious folks might have a problem or two sticking to your plan here. Don't tempt yourself.... or do, like I did.Will be back. Good place to bring family and friends visiting NYC.",289,113,1,1,0,4
oxIiccWmIvf8spyL30cYRi,kBgtoQFF0j1O9qgVcEKAiw,xt4sa64WOrpJvZBDPNPNYg,2019-11-16,4,"Likes: even though coming in with high expectations, the tastes and quality of the food were still too good to be true. I am usually not someone who particularly seeks out for southern food, but everything here is deliiiiiish, from the savoriness and crispiness of the chicken wings, the perfect moist and rich taste of the corn bread, to the millions of dipping sauces that are offered on the table. I see why people would wait for hours just to have a bit of it.Hopes for improvement: wish they have a better way to organize the wait list. The gentleman at the check in mistakenly marked our party as incomplete, which resulted in us waiting for at least 30 minutes more than we should have, only to notice afterwards that many who have come after us were seated before us. The gentleman only never gave us any updates and we had to go in line to talk to him multiple times to make things clear.",18,73,1,0,0,4
DbwGk5AWi2y3r1D62gvJgG,5zAvUJQJ2KgIrQCUMQCqzw,xt4sa64WOrpJvZBDPNPNYg,2019-11-03,4,"We went early Sunday morning right when they opened. There were already a bunch of patrons ready to be seated and fed. This was a big indicator to me that the food would be great and also that as the day progressed there would be a bit of wait to get seated. Since we were there so early we got seated right away. The food was exactly as I expected it to be. Delicious and soulful! We ordered the chicken and pancakes (a different spin on chicken and waffles) which was so yummy and fulfilling. We also got the croque madame, which is enough to share among 2 people! It was perfect and cheesy! The customer service was just right. I will certainly be going back for brunch and dinner.",249,44,2,2,0,4
mUrhh3pBlnPonguDOFuAyH,vvveGUB8NEo6RE09hdgbJw,xt4sa64WOrpJvZBDPNPNYg,2020-01-29,4,"I'm a fan of sweet cocktails and I absolutely loved the 'Autumn Blush' cocktail. It's made with vodka and cranberry cinnamon simple syrup that's made in house!For our appetizers, we got the Biscuits & Fixins and the Deviled Eggs.The biscuits came with Strawberry Preserves, Orange Preserves, and Clover Honey in cute little squeeze bottles and small tubs of salted butter and maple butter. The pickled mustard seeds were a nice addition to the deviled eggs.  We ordered the Shrimp & Grits, classic Mac & Cheese, and Hot Chicken Biscuit. The shrimp and grits had a nice smokey crayfish flavor in the sauce. It's a delicious dish, but note that the shrimp comes with the shells on.The classic mac & cheese was great! Cheesy and creamy - just what I expect and love about mac and cheese. The hot chicken biscuit was a good dish, but not spectacular. The spicy hot chicken flavor did not come through and the biscuit was a tad dry. Overall, this was a great meal! The winners were definitely the Deviled Eggs and the Autumn Blush cocktail.",235,32,1,0,0,4
i4LhxE2tO8jihZCdNhYpi8,vAjo8SsVIhXjJDzP9QIgkQ,xt4sa64WOrpJvZBDPNPNYg,2019-10-22,5,"Well I can certainly understand the hype around this UWS gem now that I've been! My two friends and I came on a Saturday morning and luckily there was not a wait. This is a really ideal place for an indulgent brunch without all the frills and stuck up atmosphere that you'd find at other places but with HUGE portions for a decent price.My friends and I ordered three dishes (croque madam, bacon egg chicken biscuit, and southern chicken biscuit) as well as an ice coffee and the total came out to be around $75 in total with tax and tip. However the portions were HUGE. You should definitely come with a group of friends and go family style or be prepared to go home with a lot of leftovers (I only managed to eat a 1/3 of my croque madam) but my guy friends managed to finish 3/4 to all of their plates! I think for value, I really liked the croque madam because I got to enjoy their infamous fried chicken and biscuit but also have my egg and ham. Plus I much preferred potatoes to grits. The fried tomatoes were so so on my friend's southern chicken biscuit but the table next to us got this lovely pumpkin biscuit special which I'd love to try next time. It does get a bit loud in the back as the quarters are tight but it wasn't unbearable.",728,197,2,2,0,4
M12e7aZGPQHc5EoQz9z1tx,XNB70DQ6ojRsivW2-q9AgQ,xt4sa64WOrpJvZBDPNPNYg,2019-11-16,5,WOW WOW WOW! This restaurant is INSANE! Fried chicken with sausage gravy 5 STARS ALL DAY LONG!Super crowded all day and night during the weekends. Don't be afraid - it's totally worth the wait. Hamburger Mac and Cheese - next level. Totally enough for two. Totally enough for a post hangover gut bomb for two. Ribs fall off the bone. Perfectly slow cooked / smoked with insane bbq sauce. Sever with a baked potato smothered in buttery cheesy bacony goodness. The slaw is next level. Maybe best slaw I've ever had. Skip the brussel sprouts. The bartenders rock. The place is always packed but they make eye contact with everyone and get you your drink quick. Get the fried chicken and sausage gravy. It will change your life. My wife my kids and I will get three orders for lunch / dinner and fight over every bite. Incredible.,76,239,0,0,0,4
QCb3g5ZYRHIsojd6qMdWgS,4CsSaSGBXeU831g6b6QR3g,xt4sa64WOrpJvZBDPNPNYg,2019-11-15,4,"Came here on a saturday late afternoon around 1:30pm and it was still a 90 minute wait for a table of 2. When we got the text, we had literally 5 minutes to get back to the restaurant or we'd lose our spot. No confirmation to secure our table, which is kind of ridiculous. I guess that's how businesses are now a days when they are so popular. We didn't make it in time, but luckily the person behind us also didn't show up so we were able to get a table. They had given us a table outside, and would be with us in a second. They didn't even give us a menu. When the waiter finally came around, he wondered if we just sat down from off the street since we didn't have a menu - such a strange place. When we finally got the menu, we ordered 2 appetizers -- street corn and fried pickles. I also got the mushroom gravy smothered chicken sandwich.I would say the appetizers aren't worth it. It was good to try, but it isn't a good value for how much you get. The chicken is what was really good. I think that is the most satisfying part of the meal. It is a lot of food. I ended up taking it to go -- though it was a long process. Overall, the service is really slow. I think I would come more often if it wasn't a whole day thing.",265,330,0,0,0,4
